"Wing slice (x=10): z_over_c","Wing slice (x=10): True_Cp","Wing slice (x=10): z_over_c","Wing slice (x=10): Position[Y] (m)"
5.098587143479946,-0.4421917995363252,5.098587143479946,-25.426510014299694
5.113971070548459,-0.47797532607093735,5.113971070548459,-25.449208595336877
5.128772727250052,-0.5146872691813545,5.128772727250052,-25.4708250562534
5.143435606947598,-0.5580051543531859,5.143435606947598,-25.492011542550948
5.158146933619911,-0.5926214371718483,5.158146933619911,-25.51358299028816
5.1729341125515305,-0.6280001536520978,5.1729341125515305,-25.536040290323132
5.188277040953437,-0.6634651442047624,5.188277040953437,-25.560047413874898
5.202585553809001,-0.6841767645130962,5.202585553809001,-25.582655950854125
5.216951381055665,-0.7086257364008625,5.216951381055665,-25.60456986358014
5.232350221165831,-0.7303655286621102,5.232350221165831,-25.627536129298797
5.247080644940951,-0.7440472965927615,5.247080644940951,-25.650458398802165
5.261713874716662,-0.7559411447689992,5.261713874716662,-25.674439284544892
5.275955666826626,-0.7574545044505322,5.275955666826626,-25.69841135930694
5.290754484313318,-0.7565676425418478,5.290754484313318,-25.72362938925091
5.305963443597996,-0.7493545546993196,5.305963443597996,-25.749557655204114
5.3207826400978036,-0.737687580591583,5.3207826400978036,-25.774776059262447
5.336091767456686,-0.7163757372548836,5.336091767456686,-25.800842978138526
5.35085878950737,-0.6924292647699389,5.35085878950737,-25.8263232725306
5.302601350443709,-0.2414232268742909,5.302601350443709,-25.980565982640936
5.36554124695833,-0.6541074355854877,5.36554124695833,-25.852464322249006
5.374957503051654,-0.6258847115333904,5.374957503051654,-25.86949868325668
5.305866944564158,-0.24150763687543203,5.305866944564158,-25.98292904126458
5.3820679056470695,-0.6065160724777112,5.3820679056470695,-25.882517874185055
5.309577882064161,-0.24153160354133765,5.309577882064161,-25.985614360547288
5.394854569059341,-0.5621853816150972,5.394854569059341,-25.906024246203874
5.313318163727651,-0.24178806722543703,5.313318163727651,-25.988320913938104
5.409185242091681,-0.521431336527151,5.409185242091681,-25.932133174693092
5.318325402427391,-0.24213995625484105,5.318325402427391,-25.99194426642881
5.371558188021417,-0.2565840977619464,5.371558188021417,-26.030464728071706
5.423436419059271,-0.4768407753496102,5.423436419059271,-25.957703656761794
5.384639212946595,-0.26191543100494424,5.384639212946595,-26.039930457006548
5.360194630937265,-0.24716173003962943,5.360194630937265,-26.022241798162966
5.316519205868957,-0.2418871114605356,5.316519205868957,-25.99063726127265
5.320790084049463,-0.24208755779871483,5.320790084049463,-25.993727766443428
5.3918653103165255,-0.2663209198507076,5.3918653103165255,-26.045159426399383
5.436382488266148,-0.4464893023089845,5.436382488266148,-25.981700328969247
5.352841190923769,-0.2446280316951266,5.352841190923769,-26.0169206807196
5.324726884814993,-0.24228879597657033,5.324726884814993,-25.996576525552918
5.40143628567624,-0.2713076698013618,5.40143628567624,-26.052085203157347
5.445531376470292,-0.3933265048683374,5.445531376470292,-26.00877551166666
5.345442855912012,-0.24373275722503687,5.345442855912012,-26.011567076228282
5.330219027274211,-0.2427234911721902,5.330219027274211,-26.000550765498787
5.416541761983382,-0.27631238267977276,5.416541761983382,-26.06299198839679
5.449721777356324,-0.358006557272404,5.449721777356324,-26.040580969982642
5.337740090066212,-0.24281530574843765,5.337740090066212,-26.005993178619953
5.430415489468629,-0.29104070129259935,5.430415489468629,-26.07289539676224
5.448882469380479,-0.363666517727151,5.448882469380479,-26.070542744416873
5.442176129459142,-0.29054349606471747,5.442176129459142,-26.0811974717861
4.603675536590103,0.5847577141489677,4.603675536590103,-25.516300077251422
4.615019499889122,0.5494067025993647,4.615019499889122,-25.5324387238306
4.621776616650578,0.5358626284990301,4.621776616650578,-25.542018247158094
4.6325683122802985,0.503621777686077,4.6325683122802985,-25.556734660457117
4.6478948943555025,0.4780685497698497,4.6478948943555025,-25.577026229653804
4.6592553945775705,0.4567084757388374,4.6592553945775705,-25.591837076607547
4.666104372600813,0.4474237615685336,4.666104372600813,-25.600702961852708
4.676900961486325,0.4242596608496193,4.676900961486325,-25.614538716620583
4.692244878993137,0.3983090454971938,4.692244878993137,-25.63377371407732
4.703794863879828,0.38336006290029945,4.703794863879828,-25.647948812306762
4.7107864391104215,0.37566656616344685,4.7107864391104215,-25.656470532457412
4.721385011947746,0.3575265424094832,4.721385011947746,-25.6692394725399
4.736428837608997,0.3349143001404848,4.736428837608997,-25.687172111311504
4.751087300365953,0.31143369363677614,4.751087300365953,-25.704257261782494
4.765640672485205,0.2926187074174957,4.765640672485205,-25.720744260739437
4.780487983998697,0.27525134293275394,4.780487983998697,-25.736894270537753
4.795425827728025,0.266602828118534,4.795425827728025,-25.752620867564037
4.8098609747518495,0.2500441778144351,4.8098609747518495,-25.76756707696436
4.824599889184469,0.23482404165857906,4.824599889184469,-25.78237855351061
