"Wall slice (x=10): z_over_c","Wall slice (x=10): Position[Y] (m)","Wall slice (x=10): z_over_c","Wall slice (x=10): Wall Shear Stress: Magnitude (Pa)"
5.404243764834277,-28.378769660845382,5.404243764834277,0.04739612464514444
5.407511835366748,-28.381729136371852,5.407511835366748,0.07008860287753894
5.411418085366748,-28.385266529815596,5.411418085366748,0.09281472185060749
5.415685001202533,-28.38913053240184,5.415685001202533,0.07054784643891049
5.419659667205252,-28.392729881511354,5.419659667205252,0.061888946659915754
5.443253943307695,-28.414096214335594,5.443253943307695,0.15152931510238452
5.43927968411203,-28.41049723361943,5.43927968411203,0.09478873581646736
5.314195183843374,-27.973197325279745,5.314195183843374,3.9269071415229986
5.2982426671228,-27.945045641530797,5.2982426671228,4.06290068087905
5.252313430285142,-27.865485111075593,5.252313430285142,4.307875306878563
5.329792086578195,-28.00002049194586,5.329792086578195,3.925506089880759
5.449206430635357,-28.41948662448518,5.449206430635357,0.17837363297456832
5.4220247101077135,-28.394871599849232,5.4220247101077135,0.012261594600234915
5.424146858354206,-28.396793359412445,5.424146858354206,0.012261594600234915
5.425703779873203,-28.398203265069718,5.425703779873203,0.012261594600234915
5.435419369460369,-28.40700143797409,5.435419369460369,0.06709225033065941
5.4313670716367,-28.40333178760519,5.4313670716367,0.032840850905171554
4.926345064524881,-27.411783836994744,4.926345064524881,2.210523170299936
5.2207319723583225,-27.813444532132344,5.2207319723583225,4.104755058935763
5.18909639622531,-27.76198311015822,5.18909639622531,4.016001696479109
5.236759931732479,-27.840104787776724,5.236759931732479,4.089705755671783
5.282643164684714,-27.91743137422965,5.282643164684714,4.201384216453313
5.267400110433627,-27.8907540114117,5.267400110433627,4.267618714938096
5.3457532743584935,-28.027348603789097,5.3457532743584935,3.924219508463792
5.361252893556248,-28.055345040942825,5.361252893556248,3.7630054855401767
5.4571410452286955,-28.426671995017273,5.4571410452286955,0.2904173625698406
5.42753882486673,-28.399865031758765,5.42753882486673,0.044737649474351875
4.956916619380735,-27.439555026537505,4.956916619380735,2.186657435711672
4.9417076954364205,-27.425727236484782,4.9417076954364205,2.057148180418743
5.0498240538799735,-27.55495856980133,5.0498240538799735,3.7018863987299717
5.096370698835244,-27.62164720243989,5.096370698835244,3.6656848747286164
5.065084183403144,-27.57661051885286,5.065084183403144,3.767272194610362
5.111809546157261,-27.643997826069203,5.111809546157261,3.694705846362943
5.158954890201883,-27.715317013398558,5.158954890201883,3.8836980934863083
5.142818659456545,-27.690166194196507,5.142818659456545,3.8161052559681097
5.127268495488671,-27.666600146155787,5.127268495488671,3.8208045302834
5.174006494504198,-27.73860675506402,5.174006494504198,3.908443564828614
5.205169711614545,-27.7876389227164,5.205169711614545,4.098545812062441
5.376955619524239,-28.085096384341398,5.376955619524239,3.5531420001244314
5.465203817357434,-28.43397342151753,5.465203817357434,0.2954885809028795
5.0342946994638496,-27.533379562802487,5.0342946994638496,3.6146204790745804
5.018064670694507,-27.511216655559874,5.018064670694507,3.4029751593326383
5.002932356528206,-27.490972147805635,5.002932356528206,3.1638468074714052
4.988015504483052,-27.471664423627733,4.988015504483052,2.835273019643927
4.972405962183487,-27.454065937685915,4.972405962183487,2.676531279699912
5.080792161403487,-27.599184658762056,5.080792161403487,3.690876716972983
5.392529957181999,-28.114834435715657,5.392529957181999,3.2160755623607025
5.47314224349843,-28.441162243683245,5.47314224349843,0.4731803650266746
