"Wall slice (x=10): z_over_c","Wall slice (x=10): Position[Y] (m)","Wall slice (x=10): z_over_c","Wall slice (x=10): True_Cp"
4.667155142886763,-27.343141180226993,4.667155142886763,-3.251884945561782
4.682456405403485,-27.32537805020786,4.682456405403485,-3.320267284571453
4.696920889246599,-27.312438067479025,4.696920889246599,-3.342567607431495
4.711581814316347,-27.3040924622765,4.711581814316347,-3.3280384914705916
4.726615321873098,-27.299689010527295,4.726615321873098,-3.1053408251523584
4.741490284167604,-27.300015497441827,4.741490284167604,-2.963119847185569
4.756392819246209,-27.304142505249192,4.756392819246209,-2.500386795486935
4.771339231253876,-27.309734435742644,4.771339231253876,-2.280670625604549
4.7866556691473505,-27.317165483744226,4.7866556691473505,-2.0950151430850967
4.8022404526354805,-27.32587610584969,4.8022404526354805,-1.9103408409270917
4.817755157910241,-27.334927756714134,4.817755157910241,-1.776817694311468
4.833291423156616,-27.344071358037194,4.833291423156616,-1.6940413613945136
4.8489659244811065,-27.353390099386544,4.8489659244811065,-1.6472544780334424
4.864383464209197,-27.363323034601102,4.864383464209197,-1.6117954221082613
4.879672037829025,-27.37407228589163,4.879672037829025,-1.546832004930286
4.8951774063699744,-27.385856241498402,4.8951774063699744,-1.5053045111586152
4.910628210173549,-27.39830648760368,4.910628210173549,-1.4457450575372737
4.926345064524881,-27.411783836994744,4.926345064524881,-1.4141464510730979
4.9417076954364205,-27.425727236484782,4.9417076954364205,-1.3562024245089106
4.956916619380735,-27.439555026537505,4.956916619380735,-1.3310221394653206
4.972405962183487,-27.454065937685915,4.972405962183487,-1.3437474907840588
4.988015504483052,-27.471664423627733,4.988015504483052,-1.334663458049464
5.002932356528206,-27.490972147805635,5.002932356528206,-1.1789776851984972
5.018064670694507,-27.511216655559874,5.018064670694507,-1.1132424154669793
5.0342946994638496,-27.533379562802487,5.0342946994638496,-1.0415776056221886
5.0498240538799735,-27.55495856980133,5.0498240538799735,-0.9896017002480785
5.065084183403144,-27.57661051885286,5.065084183403144,-0.9361911678689442
5.080792161403487,-27.599184658762056,5.080792161403487,-0.8870881428748569
5.096370698835244,-27.62164720243989,5.096370698835244,-0.8457364931901267
5.111809546157261,-27.643997826069203,5.111809546157261,-0.8146357171611766
5.127268495488671,-27.666600146155787,5.127268495488671,-0.7781873976886922
5.142818659456545,-27.690166194196507,5.142818659456545,-0.7544408819565057
5.158954890201883,-27.715317013398558,5.158954890201883,-0.7057009511045186
5.174006494504198,-27.73860675506402,5.174006494504198,-0.6750469367813533
5.18909639622531,-27.76198311015822,5.18909639622531,-0.6578414975148847
5.205169711614545,-27.7876389227164,5.205169711614545,-0.6261383670701317
5.2207319723583225,-27.813444532132344,5.2207319723583225,-0.596186333855422
5.236759931732479,-27.840104787776724,5.236759931732479,-0.5646200885676693
5.252313430285142,-27.865485111075593,5.252313430285142,-0.540907329698207
5.267400110433627,-27.8907540114117,5.267400110433627,-0.5259272135779227
5.282643164684714,-27.91743137422965,5.282643164684714,-0.49224663928676476
5.404243764834277,-28.378769660845382,5.404243764834277,-0.22154735016948102
5.2982426671228,-27.945045641530797,5.2982426671228,-0.4717016048160096
5.407511835366748,-28.381729136371852,5.407511835366748,-0.2216110692811173
5.314195183843374,-27.973197325279745,5.314195183843374,-0.44559820410758505
5.411418085366748,-28.385266529815596,5.411418085366748,-0.2216963311668619
5.329792086578195,-28.00002049194586,5.329792086578195,-0.42750734464781015
5.415685001202533,-28.38913053240184,5.415685001202533,-0.2215081772539493
5.3457532743584935,-28.027348603789097,5.3457532743584935,-0.41291414292949735
5.361252893556248,-28.055345040942825,5.361252893556248,-0.3949547707639595
5.376955619524239,-28.085096384341398,5.376955619524239,-0.37180341359378577
5.419659667205252,-28.392729881511354,5.419659667205252,-0.22158722769026812
5.392529957181999,-28.114834435715657,5.392529957181999,-0.35206443148707456
5.4220247101077135,-28.394871599849232,5.4220247101077135,-0.22097948125711864
5.424146858354206,-28.396793359412445,5.424146858354206,-0.22097948125711864
5.425703779873203,-28.398203265069718,5.425703779873203,-0.22097948125711864
5.407512416333574,-28.143503269227107,5.407512416333574,-0.3356593136996059
5.42753882486673,-28.399865031758765,5.42753882486673,-0.22145298890527537
5.422412262695033,-28.171994496316845,5.422412262695033,-0.32010942328862657
5.4313670716367,-28.40333178760519,5.4313670716367,-0.22103226805640466
5.437984305532524,-28.201806932587296,5.437984305532524,-0.3069449730198357
5.435419369460369,-28.40700143797409,5.435419369460369,-0.22101381868521083
5.45361930125825,-28.232064372202956,5.45361930125825,-0.2936484579599453
5.43927968411203,-28.41049723361943,5.43927968411203,-0.22072900764115805
5.469170852522751,-28.26300406172639,5.469170852522751,-0.2825455306479457
5.443253943307695,-28.414096214335594,5.443253943307695,-0.220763458201211
5.484661897981823,-28.29452352014279,5.484661897981823,-0.26978416531819205
5.449206430635357,-28.41948662448518,5.449206430635357,-0.22033355612222985
5.5002473089384125,-28.326518444045167,5.5002473089384125,-0.2602849416725165
5.4571410452286955,-28.426671995017273,5.4571410452286955,-0.22014512837523317
