"Wall slice (x=10): z_over_c","Wall slice (x=10): Position[Y] (m)","Wall slice (x=10): z_over_c","Wall slice (x=10): True_Cp"
4.75830646952015,-26.604471730471218,4.75830646952015,-1.3888595913448063
4.773247311672769,-26.599858816679305,4.773247311672769,-1.2453521939948031
4.788084887956373,-26.600163141448242,4.788084887956373,-1.068639115212204
4.803121742275053,-26.604941304866372,4.803121742275053,-0.8065801422581104
4.81817901655414,-26.612299468476902,4.81817901655414,-0.692365028161102
4.833047410309007,-26.621717867912807,4.833047410309007,-0.6713476330209676
4.848387791124097,-26.632086654222206,4.848387791124097,-0.6443913642041889
4.864048825586991,-26.643508586887698,4.864048825586991,-0.6511582955561163
4.8795548677027085,-26.65611986352495,4.8795548677027085,-0.6610343892103149
4.895165557954556,-26.66847924453814,4.895165557954556,-0.6602950556175639
4.910478526037373,-26.68034043451426,4.910478526037373,-0.6453359211445049
4.92589933164345,-26.69333104041795,4.92589933164345,-0.626081186043637
4.941583027162579,-26.707639333427892,4.941583027162579,-0.6030420957584107
4.957300365250944,-26.722998739137417,4.957300365250944,-0.5783805743883008
4.972542063546598,-26.738520459150507,4.972542063546598,-0.5471531977898988
4.987706304011084,-26.754748715461005,4.987706304011084,-0.5178050695006087
5.003356319612344,-26.772371952119734,5.003356319612344,-0.4966846795740598
5.018889049226203,-26.790354669975414,5.018889049226203,-0.4988843807924272
5.034266392881037,-26.80884221797882,5.034266392881037,-0.5234933021780948
5.049528918784276,-26.829814040797153,5.049528918784276,-0.5598814311648919
5.064860752226423,-26.853122918461693,5.064860752226423,-0.6093826120765579
5.080313745442069,-26.876981289669246,5.080313745442069,-0.6651221184019448
5.096389529470784,-26.902166432595962,5.096389529470784,-0.7339271585813358
5.1113346021526525,-26.92612273114635,5.1113346021526525,-0.7709259738437163
5.126399701499949,-26.9508987001103,5.126399701499949,-0.8034027255911795
5.1424683297786515,-26.977310852908168,5.1424683297786515,-0.8046397744573578
5.15803123348995,-27.002657972786267,5.15803123348995,-0.7923651396786152
5.174044986880688,-27.029338922728325,5.174044986880688,-0.7483513598958225
5.189606000339197,-27.056142738492596,5.189606000339197,-0.7088644705943866
5.20482057459931,-27.08278319751779,5.20482057459931,-0.66096439368779
5.2198662141725976,-27.109192767029846,5.2198662141725976,-0.6391089608294303
5.235424758198967,-27.136600905814582,5.235424758198967,-0.6246335900169447
5.251243648677871,-27.165052999674323,5.251243648677871,-0.6355446532656446
5.266802810259136,-27.193732875356638,5.266802810259136,-0.6488405366042004
5.2825673793683166,-27.22320508557288,5.2825673793683166,-0.6686214933860446
5.298142498307719,-27.252265440848944,5.298142498307719,-0.6713991912459417
5.313899430768998,-27.281615892369317,5.313899430768998,-0.6712927612786598
5.329442783982756,-27.311607767280783,5.329442783982756,-0.6551722299721863
5.345036328736569,-27.34279284253954,5.345036328736569,-0.64044605292341
5.360664743970389,-27.373659703208432,5.360664743970389,-0.6184052262482163
5.376380242686537,-27.403888353562976,5.376380242686537,-0.5991516788993353
5.3919276501544005,-27.433919003664982,5.3919276501544005,-0.582501464244256
5.40743325868408,-27.46511924040575,5.40743325868408,-0.5677243179735412
5.422946164526493,-27.49770319609608,5.422946164526493,-0.5579826289612042
5.438283035645227,-27.530529425318186,5.438283035645227,-0.5516715281372969
5.453876927162355,-27.56380315060126,5.453876927162355,-0.5515055427928958
5.469263633434011,-27.596592257688485,5.469263633434011,-0.5570168848954468
5.484841837197045,-27.62990665872141,5.484841837197045,-0.5671372476458786
5.500124360022852,-27.66294420498747,5.500124360022852,-0.5806309397289624
5.515679115587197,-27.697494306328327,5.515679115587197,-0.5959943907807608
5.528161315047882,-27.725749518538613,5.528161315047882,-0.6092942553182028
5.535954269492493,-27.743495326169942,5.535954269492493,-0.6148891669959011
5.547815393710479,-27.77042358207387,5.547815393710479,-0.6271956079294919
5.563165323992976,-27.804895238463477,5.563165323992976,-0.6379017312640947
5.576993351233597,-27.835812453351686,5.576993351233597,-0.6548972599122583
5.588763432422034,-27.87204535432725,5.588763432422034,-0.6594090371485638
5.584127052015063,-27.851915278237296,5.584127052015063,-0.6594090371485638
5.584554738621904,-27.853130331983245,5.584554738621904,-0.6594090371485638
5.584798412389084,-27.854468848762277,5.584798412389084,-0.6594090371485638
5.592689900117811,-27.905683746475564,5.592689900117811,-0.5645548774109403
5.590877762864622,-27.936513508109698,5.590877762864622,-0.515158889758329
5.583160700095135,-27.944148035896724,5.583160700095135,-0.47515130601711214
5.4469687405858735,-27.79592706315565,5.4469687405858735,-0.487815629774985
5.450441097383788,-27.799715358047447,5.450441097383788,-0.48760268924925554
5.45445635392003,-27.804095949303115,5.45445635392003,-0.4875001817220569
5.50433844535911,-27.858516644867667,5.50433844535911,-0.4860141096608559
5.49657567072137,-27.850047561412893,5.49657567072137,-0.48607482592201356
5.4583774153771145,-27.808373774985434,5.4583774153771145,-0.48733306552901035
5.512133433189668,-27.867020872485604,5.512133433189668,-0.48546637305734847
5.4884731653272,-27.84120783624008,5.4884731653272,-0.4863086967415549
5.46296262348676,-27.81337617579574,5.46296262348676,-0.48714049252311675
5.520390455466909,-27.876029173514212,5.520390455466909,-0.4853122266311233
5.482550416174391,-27.83474619601507,5.482550416174391,-0.48682963085094494
5.469307040026692,-27.820297849508574,5.469307040026692,-0.48719755461253383
5.466495252653644,-27.817230227037122,5.466495252653644,-0.48712168888209095
5.4609458613198925,-27.81117591520637,5.4609458613198925,-0.48722201354211025
5.471119866118201,-27.822275618563385,5.471119866118201,-0.4869770529117213
5.528140193599569,-27.884484034316056,5.528140193599569,-0.4852125976502082
5.478561651832003,-27.830394507389073,5.478561651832003,-0.4867538126446942
5.474375723644712,-27.825827715641505,5.474375723644712,-0.48726038630845875
5.539918839614145,-27.897334379809376,5.539918839614145,-0.4831852119173338
5.555843861582531,-27.91469235470891,5.555843861582531,-0.48080658414438665
5.570502302335136,-27.93055859291388,5.570502302335136,-0.47941612061247724
5.431795159664993,-27.779372889020273,5.431795159664993,0.30109121528825283
5.426326122576711,-27.773406242598156,5.426326122576711,0.3053107471931325
5.422459332147589,-27.76918762588253,5.422459332147589,0.3010238488892029
5.419039625040426,-27.765456771100176,5.419039625040426,0.29729337188267474
5.41562083129142,-27.761726912779395,5.41562083129142,0.30117483681214535
5.411259610064995,-27.75696887866723,5.411259610064995,0.2957200503662705
5.244567674041761,-27.729914016069685,5.244567674041761,0.24374582399645725
5.396526452057316,-27.740878960215994,5.396526452057316,0.2892718795220457
5.402784919774106,-27.747719241343532,5.402784919774106,0.2892718795220457
5.406764615666006,-27.75206287768931,5.406764615666006,0.2892718795220457
5.325660689861593,-27.79888911392618,5.325660689861593,0.4655547410545083
5.275040335298833,-27.75661569288777,5.275040335298833,0.280784386447326
5.289537260342648,-27.769045555962812,5.289537260342648,0.30005213426273847
5.260012987509441,-27.7435057830526,5.260012987509441,0.26471669185333446
5.3853506012907175,-27.728588442827736,5.3853506012907175,0.2896988600018151
5.303391036840665,-27.78070796890703,5.303391036840665,0.33956498675451047
5.316322047524196,-27.791329226683857,5.316322047524196,0.3517863959982763
5.32919707179191,-27.794810613812594,5.32919707179191,0.28909901492899326
5.330592338145479,-27.773984420141286,5.330592338145479,0.33718857256348983
5.368249179019479,-27.709694818483097,5.368249179019479,0.3252759620236175
5.333994570743698,-27.7232032435874,5.333994570743698,0.44236142992384475
