"Wall slice (x=10): z_over_c","Wall slice (x=10): Position[Y] (m)","Wall slice (x=10): z_over_c","Wall slice (x=10): Wall Shear Stress: Magnitude (Pa)"
5.04222725589193,-27.518169260569607,5.04222725589193,11.357992386990725
5.057924005813412,-27.536993141267033,5.057924005813412,11.49066426079956
5.073544832774942,-27.555074525494547,5.073544832774942,11.316821680707577
5.0888170155578365,-27.57227330117493,5.0888170155578365,11.228394369309296
5.10426313493069,-27.58911250260756,5.10426313493069,11.072348692438245
5.120073695360134,-27.605774908837972,5.120073695360134,11.012112241061049
5.135558500641395,-27.621729851357337,5.135558500641395,10.620255608121429
5.150870052246759,-27.637502266422068,5.150870052246759,10.377091867391167
5.166548156524371,-27.653746064175266,5.166548156524371,10.437212460685599
5.1824123646212925,-27.670096487321445,5.1824123646212925,10.562581207352356
5.197822948171833,-27.68569238528606,5.197822948171833,10.594801512582745
5.2131144196285675,-27.700693441172934,5.2131144196285675,10.572093408579567
5.2288017854107025,-27.715591162455382,5.2288017854107025,10.204338171283103
5.244567674041761,-27.729914016069685,5.244567674041761,10.049367778336386
5.260012987509441,-27.7435057830526,5.260012987509441,9.22678032179205
5.275040335298833,-27.75661569288777,5.275040335298833,8.865653084629695
5.289537260342648,-27.769045555962812,5.289537260342648,8.024260745606993
5.431795159664993,-27.779372889020273,5.431795159664993,4.590045143538866
5.426326122576711,-27.773406242598156,5.426326122576711,5.948262883843626
5.303391036840665,-27.78070796890703,5.303391036840665,7.411575812971779
5.422459332147589,-27.76918762588253,5.422459332147589,5.659524240971051
5.316322047524196,-27.791329226683857,5.316322047524196,1.901110920724251
5.419039625040426,-27.765456771100176,5.419039625040426,5.343729309812429
5.325660689861593,-27.79888911392618,5.325660689861593,7.181931539378894
5.41562083129142,-27.761726912779395,5.41562083129142,5.207580933110736
5.330592338145479,-27.773984420141286,5.330592338145479,3.343313685493431
5.32919707179191,-27.794810613812594,5.32919707179191,2.934103838592804
5.411259610064995,-27.75696887866723,5.411259610064995,5.642649895642929
5.331651688405984,-27.75817228038767,5.331651688405984,10.681342964460297
5.333994570743698,-27.7232032435874,5.333994570743698,8.604950824297035
5.396526452057316,-27.740878960215994,5.396526452057316,5.816025801301346
5.402784919774106,-27.747719241343532,5.402784919774106,5.816025801301346
5.406764615666006,-27.75206287768931,5.406764615666006,5.816025801301346
5.368249179019479,-27.709694818483097,5.368249179019479,5.490038864022261
5.3853506012907175,-27.728588442827736,5.3853506012907175,5.840826080168896
5.336718291645582,-27.682550097916543,5.336718291645582,6.817045659662069
5.349412703766177,-27.6888274374623,5.349412703766177,4.927659091131195
5.338505004546505,-27.67673870135151,5.338505004546505,4.05446067701688
4.75830646952015,-26.604471730471218,4.75830646952015,14.471636844777082
4.773247311672769,-26.599858816679305,4.773247311672769,10.562459753079983
4.788084887956373,-26.600163141448242,4.788084887956373,4.731997376372503
4.803121742275053,-26.604941304866372,4.803121742275053,2.3906048473132646
4.81817901655414,-26.612299468476902,4.81817901655414,0.9923631891797813
4.833047410309007,-26.621717867912807,4.833047410309007,0.8169226410855884
4.848387791124097,-26.632086654222206,4.848387791124097,1.4427058894147429
4.864048825586991,-26.643508586887698,4.864048825586991,1.9812744623678284
4.8795548677027085,-26.65611986352495,4.8795548677027085,2.1659843152555025
4.895165557954556,-26.66847924453814,4.895165557954556,2.184261571259195
4.910478526037373,-26.68034043451426,4.910478526037373,2.1062958906776887
4.92589933164345,-26.69333104041795,4.92589933164345,1.9527995284979065
4.941583027162579,-26.707639333427892,4.941583027162579,1.9095732761575075
4.957300365250944,-26.722998739137417,4.957300365250944,1.7821549290178256
4.972542063546598,-26.738520459150507,4.972542063546598,1.7259986384246842
4.987706304011084,-26.754748715461005,4.987706304011084,1.6462835531938598
5.003356319612344,-26.772371952119734,5.003356319612344,1.6091824017935015
