"Wall slice (x=10): z_over_c","Wall slice (x=10): Position[Y] (m)","Wall slice (x=10): z_over_c","Wall slice (x=10): Wall Shear Stress: Magnitude (Pa)"
4.667155142886763,-27.343141180226993,4.667155142886763,45.72669984596986
4.682456405403485,-27.32537805020786,4.682456405403485,48.337443807330956
4.696920889246599,-27.312438067479025,4.696920889246599,48.88946931679437
4.711581814316347,-27.3040924622765,4.711581814316347,47.52191200496607
4.726615321873098,-27.299689010527295,4.726615321873098,42.85084657021503
4.741490284167604,-27.300015497441827,4.741490284167604,36.68671807819982
4.756392819246209,-27.304142505249192,4.756392819246209,28.365917195263943
4.771339231253876,-27.309734435742644,4.771339231253876,24.914651037864395
4.7866556691473505,-27.317165483744226,4.7866556691473505,22.32315078058671
4.8022404526354805,-27.32587610584969,4.8022404526354805,19.738713752320855
4.817755157910241,-27.334927756714134,4.817755157910241,18.387821914592624
4.833291423156616,-27.344071358037194,4.833291423156616,18.12749059149508
4.8489659244811065,-27.353390099386544,4.8489659244811065,18.470711797747935
4.864383464209197,-27.363323034601102,4.864383464209197,18.75918580447434
4.879672037829025,-27.37407228589163,4.879672037829025,17.889938819676917
4.8951774063699744,-27.385856241498402,4.8951774063699744,17.70857308826388
4.910628210173549,-27.39830648760368,4.910628210173549,16.783592758009814
4.926345064524881,-27.411783836994744,4.926345064524881,16.90948559707708
4.9417076954364205,-27.425727236484782,4.9417076954364205,15.898063518857596
4.956916619380735,-27.439555026537505,4.956916619380735,15.979991520183997
4.972405962183487,-27.454065937685915,4.972405962183487,16.34946203503693
4.988015504483052,-27.471664423627733,4.988015504483052,16.86244451952786
5.002932356528206,-27.490972147805635,5.002932356528206,13.09525181976745
5.018064670694507,-27.511216655559874,5.018064670694507,11.863852158361613
5.0342946994638496,-27.533379562802487,5.0342946994638496,10.853330294068114
5.0498240538799735,-27.55495856980133,5.0498240538799735,10.326753432574975
5.065084183403144,-27.57661051885286,5.065084183403144,9.559278595733783
5.080792161403487,-27.599184658762056,5.080792161403487,9.028706037655953
5.096370698835244,-27.62164720243989,5.096370698835244,8.599265439642503
5.111809546157261,-27.643997826069203,5.111809546157261,8.280990101638448
5.127268495488671,-27.666600146155787,5.127268495488671,7.899578576257195
5.142818659456545,-27.690166194196507,5.142818659456545,7.689320980060357
5.158954890201883,-27.715317013398558,5.158954890201883,6.675280544914334
5.174006494504198,-27.73860675506402,5.174006494504198,6.382929291219271
5.18909639622531,-27.76198311015822,5.18909639622531,6.1980798690822505
5.205169711614545,-27.7876389227164,5.205169711614545,5.841193491091886
5.2207319723583225,-27.813444532132344,5.2207319723583225,5.2691284908385185
5.236759931732479,-27.840104787776724,5.236759931732479,4.735141671702549
5.252313430285142,-27.865485111075593,5.252313430285142,4.561674358436769
5.267400110433627,-27.8907540114117,5.267400110433627,4.49243119799033
5.282643164684714,-27.91743137422965,5.282643164684714,4.074764655234701
5.404243764834277,-28.378769660845382,5.404243764834277,0.48458436717747516
5.2982426671228,-27.945045641530797,5.2982426671228,3.921817938764306
5.407511835366748,-28.381729136371852,5.407511835366748,0.7440475598931224
