"Wing slice (x=10): z_over_c","Wing slice (x=10): True_Cp","Wing slice (x=10): z_over_c","Wing slice (x=10): Position[Y] (m)"
0.8729979201823141,-1.0388219659170557,0.8729979201823141,-28.693153252645526
0.8485008851172466,-1.1282125398614948,0.8485008851172466,-28.657486319940382
0.8236433082349208,-1.140470742354986,0.8236433082349208,-28.624143526646264
0.7983321461496615,-1.198878881735464,0.7983321461496615,-28.590490847499808
0.7737306646324811,-1.3740840341683702,0.7737306646324811,-28.556639260285202
0.35131566484540144,-3.439677220204498,0.35131566484540144,-28.15300944738898
0.7488530926362813,-1.4199448478733916,0.7488530926362813,-28.524060750829662
0.7235722490764616,-1.472228012815655,0.7235722490764616,-28.492369493163643
0.6988159378158869,-1.6746525498240599,0.6988159378158869,-28.460760176200253
0.3761492553621011,-3.2929620633047194,0.3761492553621011,-28.162625290865833
0.6739507015609973,-1.7014619949584768,0.6739507015609973,-28.430725346860925
0.6488607992658899,-1.7581129837538403,0.6488607992658899,-28.40186005848745
0.6236482352891599,-1.9756931134974745,0.6236482352891599,-28.372327592115948
0.5241854885847985,-2.420147125396918,0.5241854885847985,-28.26710305894535
0.40097698886361854,-3.193475034620501,0.40097698886361854,-28.17401435735966
0.4256514399097142,-3.10115184203621,0.4256514399097142,-28.18734744846641
0.5992982562008891,-2.0113380870686375,0.5992982562008891,-28.34543159163419
0.5746781176436855,-2.0893252142844907,0.5746781176436855,-28.319704680578848
0.5492295773104559,-2.2841118492027315,0.5492295773104559,-28.2927717932289
0.4998850980163354,-2.701076260967786,0.4998850980163354,-28.24312903645057
0.47540415408928993,-3.154537375765916,0.47540415408928993,-28.220337996105755
0.45033814413315554,-3.0426624358586665,0.45033814413315554,-28.201767840506683
0.8031296527651648,0.8552942482062241,0.8031296527651648,-28.9177946430525
0.8213283981295589,0.821773121819121,0.8213283981295589,-28.928007641355727
0.791594821806882,0.9173845428335348,0.791594821806882,-28.932454217363627
0.8351423446491566,0.8009986251081294,0.8351423446491566,-28.935743181281367
0.7906685188553269,0.8352724567266013,0.7906685188553269,-28.96058938505915
0.8908932368541258,0.8503478476816124,0.8908932368541258,-28.966287702756336
0.8514752506017658,0.7920266398302117,0.8514752506017658,-28.94478849835806
0.8452301436130369,0.7972249267577968,0.8452301436130369,-28.94135055835376
0.7897336072377783,0.9156673862688559,0.7897336072377783,-28.988986436362183
0.8867468738776338,0.854172679687636,0.8867468738776338,-28.96402871812689
0.8795024675152234,0.8430358455735925,0.8795024675152234,-28.960081885031265
0.8772797378487311,0.8267795655162165,0.8772797378487311,-28.958870917207065
0.8691478782762445,0.8138270529626647,0.8691478782762445,-28.954440589740024
0.860091124308795,0.7968402679488641,0.860091124308795,-28.94950109482389
0.5045487364947405,0.44458453450937035,0.5045487364947405,-28.916490720246962
0.47973566407490864,0.49792515147485156,0.47973566407490864,-28.89973878607981
0.7885301243336755,0.6625413612099033,0.7885301243336755,-29.025541038060837
0.8826639353474022,0.8478081738339214,0.8826639353474022,-28.96180428784063
0.8746725213559046,0.8245701021487817,0.8746725213559046,-28.957450476686944
0.5290408225740748,0.45858754376695754,0.5290408225740748,-28.93135689793791
0.7857675374646576,1.0488741594398894,0.7857675374646576,-29.040487738521477
0.603861475323086,0.5108726286783642,0.603861475323086,-28.97026681894326
0.5788716303412258,0.4794187909743384,0.5788716303412258,-28.95806357422606
0.5538592430337275,0.45208841962465246,0.5538592430337275,-28.94531031639773
0.77862612955267,0.8382172396672565,0.77862612955267,-29.038598261825044
0.6290444943202829,0.5135541633059927,0.6290444943202829,-28.98265989410244
0.7686282088980718,0.8253665776865773,0.7686282088980718,-29.03584617749146
0.653947736608373,0.501621583781723,0.653947736608373,-28.99449241752286
0.7580973883354005,0.7462405716712524,0.7580973883354005,-29.032707768630228
0.6788100561924892,0.5205054362997253,0.6788100561924892,-29.00516021020401
0.7467406042662716,0.7075780802308855,0.7467406042662716,-29.029141779731578
0.7036743878462346,0.5759946472159095,0.7036743878462346,-29.014564843432254
0.7284580996780647,0.6507398123652076,0.7284580996780647,-29.023112683517855
0.45477379928603057,0.5218064177812359,0.45477379928603057,-28.881504415945045
0.42965861263226657,0.546434122009122,0.42965861263226657,-28.86247129072468
0.4085535886411833,0.6001966759980822,0.4085535886411833,-28.845283185420662
0.39642934422192155,0.6138787081733452,0.39642934422192155,-28.834946731880564
0.38038143795953516,0.6434897580579653,0.38038143795953516,-28.820996065361363
0.3554980141821531,0.7067848600235982,0.3554980141821531,-28.798203621938995
0.3303265881047537,0.7956791831383695,0.3303265881047537,-28.773532405634313
0.30555859158619825,0.879900660804826,0.30555859158619825,-28.74831678887186
0.2809870584529506,0.9560980698451743,0.2809870584529506,-28.72263729087731
0.25600005545432225,1.0647742302864223,0.25600005545432225,-28.69541182351282
0.23063481231460514,1.171619396133971,0.23063481231460514,-28.666633455845812
0.20576112716305772,1.3244195401721548,0.20576112716305772,-28.636889091578016
0.17279975010701065,1.4840907254240838,0.17279975010701065,-28.5962714840589
0.18506243494985597,1.4840907254240838,0.18506243494985597,-28.611249484084155
0.16291984821680217,1.614454254232175,0.16291984821680217,-28.58385180466977
0.1500462282586028,1.731401083648144,0.1500462282586028,-28.567205190084373
0.1379420411948331,1.859368027517464,0.1379420411948331,-28.5510724901622
0.12626180918329055,1.9717447823329295,0.12626180918329055,-28.535173555994685
0.11459491889752371,2.127696505042663,0.11459491889752371,-28.518075751360737
0.1037632309361527,2.3678856724453508,0.1037632309361527,-28.490998886547004
0.09593973743233875,1.9028009173584468,0.09593973743233875,-28.453178957284557
0.09257751124285818,0.43716597637462806,0.09257751124285818,-28.415471824124133
0.10200305302383583,-8.164119168892299,0.10200305302383583,-28.297241847717174
0.09429176366543146,-4.880244505346803,0.09429176366543146,-28.343989865920083
0.0921829209344267,-1.9196149809479175,0.0921829209344267,-28.37953315965035
0.11574065645353215,-6.25217375917787,0.11574065645353215,-28.26148496551228
0.10703984203155414,-7.800971641845431,0.10703984203155414,-28.281142972787357
0.09795673281270467,-7.45730320413208,0.09795673281270467,-28.31590224222802
0.12737086372851536,-5.001481414291692,0.12737086372851536,-28.238006791675758
0.13941888480462694,-5.108606484700993,0.13941888480462694,-28.214575009729288
0.17248442648890006,-6.436539366161316,0.17248442648890006,-28.16365279009682
0.16053456925799736,-5.888393429771797,0.16053456925799736,-28.18019270310853
0.15002163407069702,-5.888393429771797,0.15002163407069702,-28.195921098175077
0.14707721749876157,-5.888393429771797,0.14707721749876157,-28.20038486864663
0.18377082477265816,-6.052736016084982,0.18377082477265816,-28.1525513430231
0.3266527810610853,-3.3631786235275873,0.3266527810610853,-28.14590083543324
0.30194033816094645,-3.76535924861732,0.30194033816094645,-28.139230815190096
0.27709918765458497,-3.9498166961172174,0.27709918765458497,-28.133640945160316
0.20411517756490127,-6.185860166565829,0.20411517756490127,-28.13767084579478
0.2523695016696337,-4.563303204050832,0.2523695016696337,-28.130574442177945
0.22811435635539112,-5.719986309510932,0.22811435635539112,-28.13008528820943
0.9045581466510413,-0.23920140554080133,0.9045581466510413,-28.973732497476178
0.9071122601554578,-0.23903108295161093,0.9071122601554578,-28.97512400689806
0.9102829092501423,-0.23904104705818577,0.9102829092501423,-28.976851411761274
0.9134226223795991,-0.2390947524254252,0.9134226223795991,-28.978561962366825
0.9165624999999977,-0.2387791186515083,0.9165624999999977,-28.980272602588876
0.9199360044332963,-0.23936658543025172,0.9199360044332963,-28.982110525294964
0.9230798678446419,-0.23918145922983156,0.9230798678446419,-28.98382333702022
0.9260615230202376,-0.23887625151864444,0.9260615230202376,-28.985447775895967
0.9308752132191529,-0.23922696024696144,0.9308752132191529,-28.988070327812398
0.9342183095056953,-0.2387122879692289,0.9342183095056953,-28.989891683822194
0.9372744008899758,-0.2387122879692289,0.9372744008899758,-28.99155667637167
0.9434082354612912,-0.23856414314487387,0.9434082354612912,-28.994898457613374
0.9498227444993006,-0.23832837791269773,0.9498227444993006,-28.99839315342375
0.9561306343528884,-0.2380061025527771,0.9561306343528884,-29.00182976191757
1.0220354132662663,-0.22973537350361353,1.0220354132662663,-29.037707419425928
1.0336728373613582,-0.22894559161635142,1.0336728373613582,-29.043926164297755
0.9623299580497218,-0.23753227061119458,0.9623299580497218,-29.005207222362664
0.968545823836223,-0.23694842757565762,0.968545823836223,-29.008593695122034
1.009591146497101,-0.23188375679001608,1.009591146497101,-29.030954992323124
1.0435245747275204,-0.23030661148485193,1.0435245747275204,-29.049120361465484
1.0493434990764712,-0.22270522513545513,1.0493434990764712,-29.05218469849144
0.9749436140212566,-0.23640497105315195,0.9749436140212566,-29.012079282315515
0.9970499680439389,-0.23398945728713852,0.9970499680439389,-29.024123069662004
1.05197278315336,-0.2820106495024629,1.05197278315336,-29.04206566373148
0.9845175361700527,-0.23562761024390377,0.9845175361700527,-29.017295261500216
1.0533368250101205,-0.259688915974068,1.0533368250101205,-29.022217339177104
1.0536213877578007,-0.26208671363982905,1.0536213877578007,-29.009756575696485
1.0532843570642854,-0.26421037364169775,1.0532843570642854,-29.002884984897094
1.0520344700634183,-0.3931882771492925,1.0520344700634183,-28.990208899029405
1.0477302658669032,-0.5847214146463897,1.0477302658669032,-28.970764442482437
1.0393688937518348,-0.5410365805501726,1.0393688937518348,-28.952405465902203
1.0284696268396658,-0.515131689360375,1.0284696268396658,-28.9347633728503
1.0159751024473849,-0.5132479776841611,1.0159751024473849,-28.915004709209548
1.003533569424711,-0.5334540983293804,1.003533569424711,-28.89504905394095
0.9913751362432492,-0.5765139560255876,0.9913751362432492,-28.87523705528762
0.9790341349362706,-0.6193978301436288,0.9790341349362706,-28.85514486699077
0.9665855190056476,-0.6730420558649706,0.9665855190056476,-28.835109460842844
0.9537088247418808,-0.7170202733156341,0.9537088247418808,-28.81486943194018
