"Wing Slice (x=10): z_over_c","Wing Slice (x=10): Position[Y] (m)","Wing Slice (x=10): z_over_c","Wing Slice (x=10): True_Cp"
4.673235528991093,-26.916336792065966,4.673235528991093,0.9996942122767625
4.685484180482334,-26.94674481729436,4.685484180482334,0.974189091246648
4.70020357154047,-26.975934664408783,4.70020357154047,0.9184928302364239
4.715650278637241,-27.0056408247102,4.715650278637241,0.8640982356879293
4.731165400110314,-27.034813233234647,4.731165400110314,0.8154543361083703
4.746965991508034,-27.064154479340253,4.746965991508034,0.7653562913009064
4.7625071935008805,-27.092778280517308,4.7625071935008805,0.7214525481400008
4.778327278138306,-27.12144010893729,4.778327278138306,0.676116091048196
4.793847017201628,-27.14871683365348,4.793847017201628,0.6392139996851601
4.809805609292248,-27.176231737895904,4.809805609292248,0.6055026991901308
4.825358148040522,-27.202673477133978,4.825358148040522,0.5713711406535789
4.840547325533244,-27.227891578072224,4.840547325533244,0.5406050014504724
4.855696575835168,-27.252496837122436,4.855696575835168,0.5169139658321174
4.87124203939954,-27.27742416120433,4.87124203939954,0.49118392426647783
4.8874207695559875,-27.303068753320026,4.8874207695559875,0.4629079367345368
4.902966951468869,-27.327299664710047,4.902966951468869,0.4352277128338447
4.91825569162166,-27.35057566026517,4.91825569162166,0.41101773322710766
4.933631589082907,-27.37322855703316,4.933631589082907,0.3896818128994275
4.949147027706928,-27.395529720839583,4.949147027706928,0.37309562824397047
4.96480472109338,-27.417548819907154,4.96480472109338,0.35198092794073427
4.980039654189184,-27.43849204287413,4.980039654189184,0.33599528850579435
5.026714607531687,-27.498913412011706,5.026714607531687,0.29588649013870755
4.995561718660632,-27.459083839850774,4.995561718660632,0.3167277523522052
5.0113733177528275,-27.479399307104355,5.0113733177528275,0.31188688629843525
5.04222725589193,-27.518169260569607,5.04222725589193,0.27947370738985927
5.057924005813412,-27.536993141267033,5.057924005813412,0.26749202944371314
5.073544832774942,-27.555074525494547,5.073544832774942,0.2623099074656503
5.0888170155578365,-27.57227330117493,5.0888170155578365,0.25620906098399315
5.10426313493069,-27.58911250260756,5.10426313493069,0.25094605797524494
5.120073695360134,-27.605774908837972,5.120073695360134,0.25010318100465617
5.135558500641395,-27.621729851357337,5.135558500641395,0.2564204170679728
5.260012987509441,-27.7435057830526,5.260012987509441,0.26182624937017024
5.244567674041761,-27.729914016069685,5.244567674041761,0.2430777018223101
5.150870052246759,-27.637502266422068,5.150870052246759,0.2566535381976668
5.166548156524371,-27.653746064175266,5.166548156524371,0.24990754130623102
5.1824123646212925,-27.670096487321445,5.1824123646212925,0.24207738097379683
5.197822948171833,-27.68569238528606,5.197822948171833,0.2356008453467363
5.2131144196285675,-27.700693441172934,5.2131144196285675,0.23286490731076084
5.2288017854107025,-27.715591162455382,5.2288017854107025,0.2362283933417327
4.728826689871866,-26.624358774858695,4.728826689871866,-1.7923763175887688
4.714376375192138,-26.64052858151078,4.714376375192138,-1.7356026314706563
4.684990183425342,-26.6813358623916,4.684990183425342,-2.883513967534282
4.699139471400599,-26.660573342594503,4.699139471400599,-1.9167851272813488
4.672692545475272,-26.708914866086545,4.672692545475272,-3.3671707643765583
4.663809034548748,-26.747283107683693,4.663809034548748,-2.6830592175998067
4.659948161347586,-26.789660670635136,4.659948161347586,-1.1704068017721612
4.660099547894227,-26.834153213380766,4.660099547894227,-0.0786764842668456
4.664277350649627,-26.877992136459426,4.664277350649627,0.7194647892069617
5.535954269492493,-27.743495326169942,5.535954269492493,-0.5093795346410427
5.590877762864622,-27.936513508109698,5.590877762864622,-0.515567925283432
5.528161315047882,-27.725749518538613,5.528161315047882,-0.5093239498755667
5.515679115587197,-27.697494306328327,5.515679115587197,-0.5094538924557863
5.500124360022852,-27.66294420498747,5.500124360022852,-0.5101433289825499
5.484841837197045,-27.62990665872141,5.484841837197045,-0.5102828287708376
5.547815393710479,-27.77042358207387,5.547815393710479,-0.5086435073477222
5.563165323992976,-27.804895238463477,5.563165323992976,-0.5094484291065262
5.592689900117811,-27.905683746475564,5.592689900117811,-0.5048327399214113
5.469263633434011,-27.596592257688485,5.469263633434011,-0.5100604833611612
5.453876927162355,-27.56380315060126,5.453876927162355,-0.5098606008299971
5.438283035645227,-27.530529425318186,5.438283035645227,-0.5095481854602305
5.422946164526493,-27.49770319609608,5.422946164526493,-0.5095146632086535
5.576993351233597,-27.835812453351686,5.576993351233597,-0.5079400808852639
5.588763432422034,-27.87204535432725,5.588763432422034,-0.5135036959631727
5.584127052015063,-27.851915278237296,5.584127052015063,-0.5135036959631727
5.584554738621904,-27.853130331983245,5.584554738621904,-0.5135036959631727
5.584798412389084,-27.854468848762277,5.584798412389084,-0.5135036959631727
5.40743325868408,-27.46511924040575,5.40743325868408,-0.5103528114318292
5.3919276501544005,-27.433919003664982,5.3919276501544005,-0.5106918401266368
5.376380242686537,-27.403888353562976,5.376380242686537,-0.5099971471406065
5.360664743970389,-27.373659703208432,5.360664743970389,-0.5079945744400339
5.329442783982756,-27.311607767280783,5.329442783982756,-0.5068100053489003
5.345036328736569,-27.34279284253954,5.345036328736569,-0.5071846043589459
5.313899430768998,-27.281615892369317,5.313899430768998,-0.5077186861299745
5.298142498307719,-27.252265440848944,5.298142498307719,-0.5052001718033012
