"Wing slice (x=10): z_over_c","Wing slice (x=10): True_Cp","Wing slice (x=10): z_over_c","Wing slice (x=10): Position[Y] (m)"
0.4726197939574206,-0.02642391033568834,0.4726197939574206,-28.630183966320978
0.4873754305723921,-0.026605784617240644,0.4873754305723921,-28.631083261341153
0.5021482442103391,-0.018560791798150192,0.5021482442103391,-28.631354060255497
0.5169328264327646,0.004429288808876113,0.5169328264327646,-28.63102517067515
0.5317280258471158,0.022570063847218973,0.5317280258471158,-28.63047599684254
0.5465368584665953,0.03489956125051277,0.5465368584665953,-28.629864969300268
0.5613502070171705,0.045224709686550256,0.5613502070171705,-28.629328425971202
0.5761583535400803,0.04786100367606444,0.5761583535400803,-28.628838092126713
0.8320990657045257,0.305992664429272,0.8320990657045257,-28.47591410991364
0.5909546647847819,0.05213444100459975,0.5909546647847819,-28.628171081779215
0.8267741240089919,0.3066617575596452,0.8267741240089919,-28.475818897294033
0.6057386253089732,0.05849493623386732,0.6057386253089732,-28.627201005295962
0.8230700013729972,0.29612845307230734,0.8230700013729972,-28.47575266572951
0.6205053479732499,0.0696519572935806,0.6205053479732499,-28.625820592386585
0.8177185651745589,0.2772754310596705,0.8177185651745589,-28.475656979374943
0.810312768423401,0.2564197081379292,0.810312768423401,-28.47552456002666
0.6499703362835589,0.09985351871380058,0.6499703362835589,-28.621792114292106
0.6352491454718248,0.08343610661823155,0.6352491454718248,-28.624075569030033
0.7990284264376868,0.24529886734438944,0.7990284264376868,-28.475307033771415
0.689471181799135,0.1638255920643144,0.689471181799135,-28.61432519965851
0.6791860452385379,0.14650031998306418,0.6791860452385379,-28.616345335632026
0.6646501988711933,0.1265125549083785,0.6646501988711933,-28.619092346036858
0.7839955588193561,0.23809569578642445,0.7839955588193561,-28.47493677060494
0.7067232117072564,0.19103397519792792,0.7067232117072564,-28.61063850775757
0.6965249766388979,0.1690821477388864,0.6965249766388979,-28.612885498091146
0.7678283775573078,0.2355576605527319,0.7678283775573078,-28.47443449350735
0.7348120640207512,0.11913220034713101,0.7348120640207512,-28.59242008662858
0.7299538687458522,0.26913261465789,0.7299538687458522,-28.605028842324735
0.719018495317556,0.2036647703909365,0.719018495317556,-28.607715353200724
0.7470419137412279,0.2431023573883604,0.7470419137412279,-28.47374007719366
0.7348124586114295,0.2368572550664057,0.7348124586114295,-28.548879095115858
0.7348129978213294,0.2584876233437228,0.7348129978213294,-28.49503348616922
0.30937018873135713,-0.8922067790927375,0.30937018873135713,-27.946891605816575
0.32405258845633966,-0.9134513114467678,0.32405258845633966,-27.946203802680323
0.338755755698962,-0.8938013593567044,0.338755755698962,-27.946266109625824
0.45599138779173387,-0.7599921963725853,0.45599138779173387,-27.97778321265625
0.4411402017997048,-0.778613496928256,0.4411402017997048,-27.971123036951944
0.39732933801316506,-0.9213013717876531,0.39732933801316506,-27.95331260177644
0.38268804729667494,-0.975236749664729,0.38268804729667494,-27.949598141257816
0.36804811810431204,-0.9341159566685627,0.36804811810431204,-27.947363096540307
0.35344534908846015,-0.9063432739841419,0.35344534908846015,-27.946651760087605
0.47075246788197944,-0.7404069905959406,0.47075246788197944,-27.98495734963771
