z_over_c,CP
0.00000000,-1.76317078
0.00177667,-3.62916935
0.00828300,-5.19595889
0.01916733,-5.35322536
0.03338940,-3.86658827
0.04832286,-3.14920984
0.06371794,-3.25188495
0.07993328,-3.32026728
0.09526186,-3.34256761
0.11079862,-3.32803849
0.12673022,-3.10534083
0.14249380,-2.96311985
0.15828660,-2.50038680
0.17412589,-2.28067063
0.19035732,-2.09501514
0.20687313,-1.91034084
0.22331467,-1.77681769
0.23977906,-1.69404136
0.25638994,-1.64725448
0.27272851,-1.61179542
0.28893041,-1.54683200
0.30536205,-1.50530451
0.32173588,-1.44574506
0.33839164,-1.41414645
0.35467202,-1.35620242
0.37078951,-1.33102214
0.38720418,-1.34374749
0.40374622,-1.33466346
0.41955419,-1.17897769
0.43559050,-1.11324242
0.45279009,-1.04157761
0.46924716,-0.98960170
0.48541892,-0.93619117
0.50206527,-0.88708814
0.51857446,-0.84573649
0.53493561,-0.81463572
0.55131807,-0.77818740
0.56779718,-0.75444088
0.58489738,-0.70570095
0.60084815,-0.67504694
0.61683951,-0.65784150
0.63387303,-0.62613837
0.65036497,-0.59618633
0.66735043,-0.56462009
0.68383308,-0.54090733
0.69982102,-0.52592721
0.71597468,-0.49224664
0.73250609,-0.47170160
0.74941159,-0.44559820
0.76594024,-0.42750734
0.78285494,-0.41291414
0.79928049,-0.39495477
0.81592128,-0.37180341
0.83242602,-0.35206443
0.84830352,-0.33565931
0.86409347,-0.32010942
0.88059577,-0.30694497
0.89716479,-0.29364846
0.91364537,-0.28254553
0.93006184,-0.26978417
0.94657831,-0.26028494
0.96249066,-0.25167872
0.96996968,-0.24949270
0.97857903,-0.24666261
0.98927540,-0.25189328
0.99566410,-0.25474527
0.99949908,-0.24229103
