z_over_c,CP
0.00075083,-0.87584114
0.00245408,-1.21611581
0.00807695,-1.78634105
0.01882807,-2.09422354
0.03127968,-1.60477741
0.04511732,-1.54110867
0.05903272,-1.85118517
0.07280590,-2.05933432
0.09387902,-2.11122862
0.12142622,-2.16366674
0.14937665,-1.81741434
0.17778093,-1.52609759
0.20657347,-1.36468848
0.23551963,-1.24685464
0.26439780,-1.27098126
0.29322961,-1.22909270
0.32206504,-1.19224389
0.35084422,-1.18172628
0.37946915,-1.17297727
0.40825758,-1.11684678
0.43667515,-0.96735539
0.46548972,-0.88947252
0.49492956,-0.82239404
0.52392300,-0.78175078
0.55274119,-0.76341282
0.58174179,-0.68656142
0.61088539,-0.66499828
0.64053841,-0.62997163
0.66961602,-0.57898875
0.69792779,-0.56706707
0.72688205,-0.50279829
0.75673026,-0.47379328
0.78567015,-0.47181907
0.81380885,-0.43556208
0.84283172,-0.37434158
0.86461749,-0.35264176
0.87912609,-0.34627076
0.89362266,-0.32786768
0.90787901,-0.31263492
0.92236889,-0.29396918
0.93752610,-0.26977813
0.95173396,-0.24911353
0.96558057,-0.25198153
0.97947227,-0.23822015
0.99110102,-0.27517484
0.99772379,-0.15906026
1.00000000,-0.14976399
