z_over_c,WSS
0.00000000,18.43975367
0.00325280,4.64373843
0.00871014,0.04772222
0.01686554,1.48078009
0.02944853,4.51280687
0.04388865,5.90337801
0.05797974,7.17956113
0.07227944,7.61840558
0.09426925,8.62107878
0.12361069,8.91704178
0.15219976,10.33729263
0.18110097,10.13400699
0.21074177,10.88563962
0.23964326,10.78872645
0.26819770,10.91488725
0.29751294,11.78419257
0.32715207,11.28552256
0.35628429,11.66133865
0.37471622,11.45192259
0.38912157,10.96704247
0.41402303,11.09492399
0.44318964,11.51573206
0.47257465,10.91942170
0.50170443,10.76020417
0.53089789,9.97998447
0.55993663,9.69560197
0.57822373,10.09672097
0.59290346,9.49161796
0.61830947,9.42032776
0.64362864,8.75418226
0.65813806,8.75418226
0.66916248,8.23647193
0.68325200,7.55307034
0.69611487,7.39314903
0.70804032,6.91177681
0.71893592,7.84638776
0.72424151,0.71948699
0.72561784,2.87236789
0.72751621,0.58948454
0.73691388,0.14422385
0.75479811,1.07555942
0.77191478,1.92209475
0.78702899,2.43832647
0.80146012,3.50803700
0.80865449,3.77220603
0.81190531,3.46547968
0.81878442,2.66865874
0.82261744,0.66138074
0.82576565,0.35293114
0.83048398,0.18763329
0.84582372,0.20493631
0.84927180,0.24544290
0.85296482,0.46942367
0.85664749,0.83546340
0.85876273,0.82011343
0.86062878,1.02673973
0.86408241,1.04388373
0.86771636,1.25779855
0.87143518,1.32709398
0.87710155,1.40877784
0.88445482,1.52434853
0.89183829,1.69763227
0.89927053,1.56135071
0.90665950,1.42716096
0.91399176,1.55965711
0.92131512,1.44051445
0.92873812,1.22880822
0.93616796,1.13856102
0.94702946,1.19778411
0.96143711,0.98985992
0.97549709,0.83951474
0.98774858,0.89975111
0.99530246,1.34746675
0.99829122,1.10684674
0.99956456,1.02201063
1.00000000,0.89265375
