z_over_c,CP
0.00000000,0.23089854
0.00133913,0.80560062
0.00701660,1.00550625
0.01748740,0.78180523
0.03007216,0.64739738
0.04354673,0.62078068
0.05776247,0.56520118
0.07218065,0.51750076
0.09387305,0.47037547
0.12261157,0.40512691
0.15109188,0.34294819
0.18019016,0.30656951
0.20961698,0.26550570
0.23868850,0.23997368
0.25702010,0.21199148
0.27122067,0.19794904
0.29622306,0.16886966
0.32530109,0.16057814
0.35429078,0.14116361
0.38322406,0.13332672
0.41217046,0.12694784
0.44063294,0.11626739
0.46956318,0.12327057
0.49889874,0.12571380
0.52775230,0.15491129
0.55682508,0.16277375
0.58597439,0.15986359
0.61496005,0.17104359
0.64389366,0.20022369
0.66547748,0.22630710
0.67610690,0.24193191
0.68307552,0.24693911
0.69274011,0.26818952
0.70168193,0.28790217
0.70777097,0.30965694
0.71772286,0.27447264
0.72515802,0.39298445
0.72644901,0.19648336
0.72766868,0.33672250
0.72869936,0.32903458
0.73231712,0.32626298
0.74719059,0.31561956
0.76700555,0.30017301
0.78266691,0.29510407
0.79439215,0.29579291
0.80152011,0.30330480
0.80775918,0.31738504
0.81467359,0.35119563
0.82008421,0.36867457
0.82363013,0.38181860
0.82704471,0.38507609
0.83082411,0.38209379
0.84587109,-0.11177500
0.84874086,-0.11170015
0.85240413,-0.11158868
0.85609926,-0.11139436
0.85973618,-0.11123275
0.86163326,-0.11142668
0.86350205,-0.11148411
0.86714931,-0.11161251
0.87082945,-0.11150912
0.87444907,-0.11144102
0.87994018,-0.11141829
0.88721506,-0.11150356
0.89450000,-0.11146846
0.90192439,-0.11148345
0.90927277,-0.11128694
0.91657303,-0.11124191
0.92388830,-0.11129451
0.93119811,-0.11127541
0.94217610,-0.11125681
0.95678537,-0.11213842
0.97080143,-0.11125344
0.98347059,-0.11246128
0.99363278,-0.10544556
0.99813475,-0.15170391
0.99955970,-0.12700708
