z_over_c,WSS
0.00000000,50.91214953
0.00413927,72.00438408
0.01366336,69.32073289
0.02684776,48.25414657
0.04201732,30.81892658
0.05835293,26.40695584
0.07384523,28.70898996
0.08936917,27.43027588
0.10545074,24.36765366
0.12146894,21.85805227
0.13737643,16.62930563
0.15349756,10.82412158
0.16964059,9.21025508
0.18558111,8.96011772
0.20202766,9.07489318
0.21881798,8.68548131
0.23544213,7.45527776
0.25217848,6.05743487
0.26859564,4.80719596
0.28512841,3.75174528
0.30194303,2.96190776
0.31879371,2.84032753
0.33513446,2.97534747
0.35139217,2.94432331
0.36817068,2.87688839
0.38482344,2.78408848
0.40130962,2.85668395
0.41767270,2.79430187
0.43411008,2.70449168
0.45067736,2.69234386
0.46791234,2.72312752
0.48393507,2.74258300
0.50008649,2.75295789
0.51731379,2.78360376
0.53399891,2.90343329
0.55116739,2.95408098
0.56785047,3.00536818
0.58416214,3.03106302
0.60029270,3.09583620
0.61697314,3.15206125
0.63393270,3.20726439
0.65061380,3.23708797
0.66751512,3.24959354
0.68421334,3.27083111
0.70110647,3.35859239
0.71777063,3.35968055
0.73448859,3.31764983
0.75124394,3.30534625
0.76809266,3.34869287
0.78476116,3.38420141
0.80138485,3.37736690
0.81801636,3.32710568
0.83445915,3.28148302
0.85117748,3.24822857
0.86767370,3.21571322
0.88437522,3.18207352
0.90075973,3.15821671
0.91743611,3.09640862
0.93081838,3.05689780
0.93917327,3.04521756
0.95188968,3.00372991
0.96834646,2.99850878
0.98317160,3.02471889
0.99081970,3.33593315
0.99127823,3.33593315
0.99153947,3.33593315
0.99579040,3.33593315
1.00000000,3.54895399
