z_over_c,WSS
0.00016230,21.10808468
0.00464136,8.30928296
0.01424549,0.37316606
0.02737737,1.14650203
0.04315815,2.69217427
0.05971869,4.06489929
0.07635258,4.86225626
0.09329252,5.64413741
0.10995437,6.14926602
0.12691521,6.90848523
0.14355405,7.40294439
0.16066339,7.78402237
0.17733739,8.15993517
0.19362183,8.68488813
0.20986347,8.80252095
0.22652988,9.06655389
0.24387523,9.41537226
0.26054242,9.78968772
0.27693360,10.04308002
0.29341823,10.32011861
0.31005246,10.26213267
0.32683920,10.64185367
0.34317269,10.57440272
0.35981402,10.99922692
0.37676577,10.68075395
0.39321329,10.86907508
0.40984452,11.05007288
0.42667314,11.19268632
0.44342035,11.06400142
0.45979378,11.02391362
0.47635369,10.93106102
0.49330433,10.87913219
0.50990571,10.56776625
0.52632135,10.40014573
0.54312997,10.51202755
0.56013812,10.65363942
0.57665993,10.70031874
0.59305404,10.68510910
0.60987259,10.38947886
0.62677533,10.25479789
0.64333438,9.57845371
0.65944532,9.31842454
0.67498759,8.70397724
0.68984034,8.33766887
0.70370378,4.31305369
0.71371581,10.97802036
0.71750720,2.12219114
0.71900307,3.11279400
0.72013881,10.18214217
0.72265063,8.16882761
0.72557076,6.44606078
0.72748631,5.92654792
0.73918054,5.93938649
0.75937528,7.00063119
0.77770985,6.08698780
0.78969157,5.73896193
0.79640133,5.73896193
0.80066799,5.73896193
0.80548711,5.85715248
0.81016281,5.03567126
0.81382813,4.72454209
0.81749442,4.26677318
0.82164004,4.73210200
0.82750344,3.69021338
0.84377116,0.04943415
0.84749390,0.09693995
0.85179869,0.20037820
0.85600249,0.16557040
0.85875615,0.15635143
0.86091833,0.06193801
0.86470569,0.05965751
0.86772023,0.05607859
0.86966378,0.05186757
0.87315441,0.13571989
0.87764218,0.12362333
0.88191856,0.10913273
0.88826839,0.06079142
0.89695515,0.15516040
0.90527769,0.94080105
0.91363476,1.60429215
0.92248718,1.93844687
0.93079573,2.09738312
0.94342372,2.23770760
0.96049706,2.52082234
0.97621250,2.77728887
0.98978367,3.13526985
0.99805719,3.48539439
