z_over_c,CP
0.00000000,-0.39645383
0.00250094,0.58298489
0.00850975,0.97111447
0.01457309,0.99135035
0.02132490,0.97628063
0.03346316,0.91583670
0.04766476,0.86014190
0.05494863,0.84201329
0.06476029,0.79265702
0.08171539,0.73512843
0.09817152,0.69039654
0.11525451,0.64672226
0.13126361,0.60076351
0.14732551,0.56285429
0.16413843,0.53228625
0.18060030,0.50099192
0.19718923,0.47482891
0.21329555,0.44984140
0.22978558,0.42435956
0.24667784,0.39764722
0.26181486,0.37577965
0.26950627,0.36469226
0.27903107,0.34445607
0.29596951,0.33200032
0.31210098,0.31748251
0.32856160,0.29721235
0.34533416,0.27773069
0.36178545,0.27175853
0.37796900,0.26010323
0.39440329,0.24748950
0.41111712,0.22694933
0.42741448,0.22772337
0.44360244,0.22098829
0.46021817,0.21153116
0.47693058,0.20325479
0.49339524,0.21633755
0.50980477,0.22016206
0.52632292,0.22238709
0.54294628,0.21995903
0.55945849,0.21248434
0.57582949,0.20626613
0.59216823,0.20592083
0.60877001,0.20930983
0.62538754,0.21756145
0.64183461,0.22896427
0.65810459,0.24213400
0.67403252,0.25522516
0.68888283,0.27638404
0.70264185,0.28793882
0.71460525,0.34293427
0.72001419,0.20180912
0.72044183,0.18654022
0.72066491,0.25254655
0.72275254,0.30561193
0.72604989,0.33968307
0.75612634,0.30886149
0.77460328,0.29068947
0.79097928,0.27960920
0.80275122,0.29641281
0.81022034,0.33435709
0.81759806,0.36977679
0.82342394,0.41572063
0.82826787,0.42100397
0.84483960,-0.42878054
0.84830290,-0.42882611
0.85244251,-0.42896401
0.85696432,-0.42905287
0.86117643,-0.43018690
0.86368276,-0.43094269
0.86593169,-0.43094269
0.86758162,-0.43094269
0.86952629,-0.43203825
0.87358323,-0.43302436
0.87787761,-0.43465290
0.88196853,-0.43655951
0.88618021,-0.43939670
0.89248830,-0.44290907
0.90089692,-0.44767862
0.90944135,-0.45263821
0.91785401,-0.45856956
0.92606697,-0.46121197
0.93872809,-0.46218294
0.95520559,-0.46523928
0.97104045,-0.47062276
0.98541126,-0.48812227
0.99438809,-0.48964824
0.99841647,-0.61011825
0.99991848,-0.64332076
0.99999105,-0.58546608
0.99999914,-0.59967895
