z_over_c,CP
0.00000000,-0.03488496
0.00325280,1.83453691
0.00871014,2.37970424
0.01686554,2.31080454
0.02944853,2.04070756
0.04388865,1.89833916
0.05797974,1.75908865
0.07227944,1.63799448
0.09426925,1.49155262
0.12361069,1.30822631
0.15219976,1.15084202
0.21074177,0.92766202
0.23964326,0.84535730
0.26819770,0.75037574
0.29751294,0.66147381
0.32715207,0.61938910
0.35628429,0.56555960
0.38912157,0.53905409
0.41402303,0.50184930
0.47257465,0.47951874
0.53089789,0.53142353
0.55993663,0.53666193
0.59290346,0.53107215
0.61830947,0.55297845
0.64362864,0.61420592
0.65813806,0.61420592
0.66916248,0.66372089
0.69611487,0.74408850
0.70804032,0.78124579
0.71893592,0.89797729
0.72424151,0.50846482
0.72561784,0.78126667
0.72751621,0.88923920
0.73691388,0.83595296
0.75479811,0.84429769
0.78702899,0.87374349
0.80146012,0.89861572
0.80865449,0.93979493
0.81190531,0.95125101
0.81878442,0.99152113
0.82261744,1.00069116
0.82576565,1.00199996
0.83048398,1.00341767
0.84582372,-0.26244571
0.84927180,-0.26237564
0.85296482,-0.26228507
0.85664749,-0.26184880
0.85876273,-0.26064333
0.86062878,-0.26101825
0.86408241,-0.26174256
0.86771636,-0.26153227
0.87143518,-0.26176953
0.87710155,-0.26149556
0.88445482,-0.26083358
0.89183829,-0.26012113
0.89927053,-0.26013322
0.90665950,-0.26083401
0.91399176,-0.26069155
0.92131512,-0.26074696
0.92873812,-0.26088058
0.93616796,-0.26110925
0.94702946,-0.26132228
0.96143711,-0.26149904
0.97549709,-0.26123451
0.98774858,-0.26051851
0.99530246,-0.25528404
0.99829122,-0.29055340
0.99956456,-0.27976987
