z_over_c,CP
0.00016230,-0.07867648
0.00464136,0.71946479
0.01424549,0.99969421
0.02737737,0.97418909
0.04315815,0.91849283
0.05971869,0.86409824
0.07635258,0.81545434
0.09329252,0.76535629
0.10995437,0.72145255
0.12691521,0.67611609
0.14355405,0.63921400
0.16066339,0.60550270
0.17733739,0.57137114
0.19362183,0.54060500
0.20986347,0.51691397
0.22652988,0.49118392
0.24387523,0.46290794
0.26054242,0.43522771
0.27693360,0.41101773
0.29341823,0.38968181
0.31005246,0.37309563
0.32683920,0.35198093
0.34317269,0.33599529
0.35981402,0.31672775
0.37676577,0.31188689
0.39321329,0.29588649
0.40984452,0.27947371
0.42667314,0.26749203
0.44342035,0.26230991
0.45979378,0.25620906
0.47635369,0.25094606
0.49330433,0.25010318
0.50990571,0.25642042
0.52632135,0.25665354
0.54312997,0.24990754
0.56013812,0.24207738
0.57665993,0.23560085
0.59305404,0.23286491
0.60987259,0.23622839
0.62677533,0.24307770
0.64333438,0.26182625
0.65944532,0.27524215
0.67498759,0.29181327
0.68984034,0.32324557
0.70370378,0.30610690
0.71371581,0.43070906
0.71750720,0.19390442
0.71900307,0.23910614
0.72013881,0.36145713
0.72265063,0.36596440
0.72557076,0.45411314
0.72748631,0.35527777
0.73918054,0.33824995
0.75937528,0.32423125
0.77770985,0.31436681
0.78969157,0.32298103
0.79640133,0.32298103
0.80066799,0.32298103
0.80548711,0.33675953
0.81016281,0.34646664
0.81382813,0.34376158
0.81749442,0.35029741
0.82164004,0.35695500
0.82750344,0.35215436
0.84377116,-0.45469941
0.84749390,-0.45476474
0.85179869,-0.45488714
0.85600249,-0.45509201
0.85875615,-0.45522185
0.86091833,-0.45539780
0.86470569,-0.45570795
0.86772023,-0.45582587
0.86966378,-0.45613672
0.87315441,-0.45596111
0.87764218,-0.45540246
0.88191856,-0.45421565
0.88826839,-0.45237272
0.89695515,-0.45059450
0.90527769,-0.45155737
0.91363476,-0.45492882
0.92248718,-0.46012482
0.93079573,-0.46449851
0.94342372,-0.47148893
0.96049706,-0.47872972
0.97621250,-0.48847912
0.98978367,-0.48606137
0.99805719,-0.51556793
1.00000000,-0.50483274
