z_over_c,CP
0.00000000,0.87492296
0.00325682,0.26020004
0.01270780,-0.41681695
0.02753590,-0.53970877
0.04234117,-0.60693357
0.05616098,-0.87762135
0.07056480,-1.08729345
0.08510853,-1.23526773
0.09926896,-1.34504081
0.11341887,-1.39296929
0.12810577,-1.30425657
0.14282884,-1.15088259
0.15769207,-1.07975356
0.17244747,-1.00692483
0.18757463,-0.94436519
0.20294611,-0.89037535
0.21805071,-0.86764143
0.23313445,-0.89020102
0.24823185,-0.91661693
0.26339618,-0.91468458
0.27852379,-0.92399425
0.29358345,-0.90019173
0.30866787,-0.92317666
0.32377362,-0.90197280
0.33886543,-0.91523950
0.35386803,-0.94223921
0.36890882,-0.98582363
0.38395100,-0.92944020
0.39888151,-0.92138129
0.41381116,-0.82755786
0.42896144,-0.78714458
0.44421926,-0.76812424
0.45938451,-0.74964235
0.47457590,-0.70021887
0.48978219,-0.68093672
0.50511555,-0.67351422
0.52030921,-0.66697691
0.53521320,-0.65838503
0.55040281,-0.63676671
0.56575974,-0.60565685
0.58096634,-0.58695892
0.59612772,-0.60801159
0.61136970,-0.62362370
0.62640980,-0.56309814
0.64151131,-0.53936250
0.65686116,-0.52886671
0.67206858,-0.52681096
0.68752866,-0.52869591
0.70266883,-0.51814471
0.71760927,-0.46744413
0.73289969,-0.44527603
0.74813196,-0.46618509
0.76331901,-0.46914791
0.77847235,-0.47701824
0.79359002,-0.48504057
0.80873181,-0.41807233
0.82393637,-0.39802821
0.83928188,-0.38641913
0.85424451,-0.37695925
0.86934112,-0.36831026
0.88479218,-0.36804643
0.90017218,-0.36335534
0.91508687,-0.33957416
0.93007188,-0.32038438
0.94550875,-0.30505725
0.96058840,-0.30114765
0.97450509,-0.32305306
0.98711293,-0.31042235
0.99465324,-0.35918646
0.99787585,-0.14748395
1.00000000,-0.17236091
