z_over_c,WSS
0.00250094,4.47188839
0.00850975,0.49413247
0.01457309,0.26879594
0.02132490,0.29573291
0.03346316,1.89750886
0.04766476,3.66404752
0.05494863,4.38892692
0.06476029,5.45133385
0.08171539,6.39018383
0.09817152,6.95080575
0.11525451,7.27527229
0.13126361,7.86938839
0.14732551,8.52356096
0.16413843,8.84873652
0.18060030,9.21082783
0.19718923,9.42107397
0.21329555,9.64883286
0.22978558,10.00688589
0.24667784,10.40312044
0.26181486,10.80979785
0.26950627,10.71464865
0.27903107,11.01637538
0.29596951,11.03283849
0.31210098,10.99484088
0.32856160,11.15822022
0.34533416,11.52877591
0.36178545,11.33503125
0.37796900,11.51781107
0.39440329,11.45653914
0.41111712,11.80107676
0.42741448,11.49649037
0.44360244,11.45663670
0.46021817,11.37814734
0.47693058,11.56587972
0.49339524,11.11394556
0.50980477,10.94720227
0.52632292,10.79669206
0.54294628,10.75174179
0.55945849,10.90160509
0.57582949,10.93010960
0.59216823,10.81822461
0.60877001,10.65137447
0.62538754,10.40657701
0.64183461,10.06793277
0.65810459,9.68951917
0.67403252,9.21754188
0.68888283,8.97904440
0.70264185,10.03463162
0.71460525,10.87523831
0.72001419,0.85742555
0.72044183,1.01196870
0.72066491,4.43794959
0.72275254,3.54280965
0.72604989,1.38892515
0.73052676,0.90745556
0.73990711,0.63017435
0.75612634,1.96822976
0.77460328,3.11853289
0.79097928,3.89333281
0.80275122,4.58854760
0.81022034,4.13301775
0.81759806,2.80229941
0.82342394,0.99928336
0.82826787,0.46822657
0.84483960,0.04739612
0.84830290,0.07008860
0.85244251,0.09281472
0.85696432,0.07054785
0.86117643,0.06188895
0.86368276,0.01226159
0.86593169,0.01226159
0.86758162,0.01226159
0.86952629,0.04473765
0.87358323,0.03284085
0.87787761,0.06709225
0.88196853,0.09478874
0.88618021,0.15152932
0.89248830,0.17837363
0.90089692,0.29041736
0.90944135,0.29548858
0.91785401,0.47318037
0.92606697,0.63361023
0.93872809,0.67512528
0.95520559,0.40222468
0.97104045,0.86422649
0.98541126,0.99092233
0.99438809,3.53346780
0.99841647,1.39194142
0.99978564,0.69112807
0.99991848,1.52252430
0.99999105,1.11956232
0.99999914,1.52413851
1.00000000,1.11956232
