z_over_c,WSS
0.00091355,0.07293542
0.00523337,8.87823241
0.01322028,20.40029388
0.02442044,22.03246144
0.03762884,17.73559869
0.05215556,14.62530492
0.06724007,13.95571610
0.08235567,13.82589238
0.09752964,13.69300159
0.11273377,13.44655305
0.12771049,13.28272190
0.14283907,13.67274679
0.15818008,13.85037547
0.17334650,13.67330998
0.18851386,13.54890928
0.20351841,13.52391010
0.21870750,13.44706969
0.23395999,13.38800916
0.24912060,13.36580975
0.26437728,13.44791866
0.27953720,13.57688600
0.29469807,13.52978987
0.30985510,13.40691559
0.32499854,13.15255125
0.34005349,13.22971113
0.35184401,13.24978977
0.35956201,12.73581525
0.37053073,13.16945993
0.38565496,12.66674563
0.40078430,12.35450142
0.41588391,12.35330205
0.43099865,12.93287258
0.44614911,12.13728949
0.46130297,11.77312008
0.47646263,11.74553519
0.49163993,11.61046498
0.50682933,11.00136619
0.52202963,10.48266299
0.53724394,10.25154006
0.55246289,10.02987572
0.56767650,10.09692516
0.58287795,10.05928097
0.59806670,9.95803489
0.61323775,9.72849529
0.62838525,9.29572948
0.64350952,9.05837866
0.65859132,8.35118969
0.67352517,7.84682127
0.68409193,7.66820961
0.69133886,7.21477662
0.70181633,7.29566713
0.71444827,6.36712588
0.72568306,7.95272559
0.73067428,0.59349982
0.73067469,2.96236536
0.73067524,0.53438933
0.74323899,0.20567024
0.76459461,1.27820345
0.78120446,1.51389763
0.79664894,1.78864769
0.80824226,2.01651994
0.81585083,1.76917057
0.82134879,0.90085933
0.82515434,0.54113443
0.83062508,0.03040838
0.84806056,0.25536998
0.85379172,0.75748246
0.86201999,1.74540207
0.86962957,1.44500945
0.87665675,1.36567939
0.88430389,1.40558534
0.89193158,1.29242194
0.89955934,1.49208684
0.90718103,1.56216328
0.91443442,1.46357679
0.91813327,1.43208239
0.92234458,1.50340297
0.93388374,1.49053928
0.94903986,1.36573446
0.96401368,1.20935282
0.97816469,0.94000955
0.99026484,0.69970767
0.99720424,2.61832883
0.99894858,1.43538332
0.99967123,0.59651156
