z_over_c,WSS
0.00075083,38.09964757
0.00245408,46.61081791
0.00807695,54.11650340
0.01882807,46.84000317
0.03127968,40.46257287
0.04511732,34.70411893
0.05903272,40.41386891
0.07280590,43.72361179
0.09387902,42.89043283
0.12142622,40.22485045
0.14937665,30.46058934
0.17778093,24.93411529
0.20657347,22.55266842
0.23551963,18.94802470
0.26439780,21.70198733
0.29322961,21.41825374
0.32206504,20.63184132
0.35084422,20.64663155
0.37946915,19.95524649
0.40825758,20.25298487
0.43667515,15.99223293
0.46548972,14.72757786
0.49492956,13.86317317
0.52392300,12.99930622
0.55274119,13.98710289
0.58174179,12.22291315
0.61088539,12.02604380
0.64053841,12.19227806
0.66961602,10.36918330
0.69792779,11.33325753
0.72688205,10.17170539
0.75673026,9.15299996
0.78567015,10.15355644
0.81380885,9.69967211
0.84283172,8.10018707
0.86461749,7.90130138
0.87912609,7.91305280
0.89362266,7.71033724
0.90787901,7.42071849
0.92236889,7.12217648
0.93752610,6.41644863
0.95173396,6.12721530
0.96558057,5.78345401
0.97947227,6.72973351
0.99110102,3.08392717
0.99772379,1.48208431
1.00000000,0.84517524
