z_over_c,CP
0.00000000,-1.17040680
0.00413927,-2.68305922
0.01366336,-3.36717076
0.02684776,-2.88351397
0.04201732,-1.91678513
0.05835293,-1.73560263
0.07384523,-1.79237632
0.08936917,-1.71475177
0.10545074,-1.54816188
0.12146894,-1.41609525
0.13737643,-1.25226028
0.15349756,-0.96267826
0.16964059,-0.81553153
0.18558111,-0.73514975
0.20202766,-0.67288666
0.21881798,-0.64942709
0.23544213,-0.61879634
0.25217848,-0.59348793
0.26859564,-0.57588969
0.28512841,-0.55635162
0.30194303,-0.54199148
0.31879371,-0.53270929
0.33513446,-0.52568210
0.35139217,-0.51692638
0.36817068,-0.51226929
0.38482344,-0.50726156
0.40130962,-0.50831116
0.41767270,-0.49920393
0.43411008,-0.49871651
0.45067736,-0.49622692
0.46791234,-0.49692487
0.48393507,-0.49535532
0.50008649,-0.49590783
0.51731379,-0.49579267
0.53399891,-0.49863362
0.55116739,-0.49773724
0.56785047,-0.49938209
0.58416214,-0.49898259
0.60029270,-0.50130602
0.61697314,-0.50167838
0.63393270,-0.50328329
0.65061380,-0.50353788
0.66751512,-0.50443632
0.68421334,-0.50520017
0.70110647,-0.50771869
0.71777063,-0.50681001
0.73448859,-0.50718460
0.75124394,-0.50799457
0.76809266,-0.50999715
0.78476116,-0.51069184
0.80138485,-0.51035281
0.81801636,-0.50951466
0.83445915,-0.50954819
0.85117748,-0.50986060
0.86767370,-0.51006048
0.88437522,-0.51028283
0.90075973,-0.51014333
0.91743611,-0.50945389
0.93081838,-0.50932395
0.93917327,-0.50937953
0.95188968,-0.50864351
0.96834646,-0.50944843
0.98317160,-0.50794008
0.99081970,-0.51350370
0.99127823,-0.51350370
0.99153947,-0.51350370
0.99579040,-0.51350370
